player_name,player_id,season,Year in NBA,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,College Drafted Players Stats from 2000-2005 (1).Rk,College Drafted Players Stats from 2000-2005 (1).PTS,College Drafted Players Stats from 2000-2005 (1).Draft Year,College Drafted Players Stats from 2000-2005 (1).Draft College,College Drafted Players Stats from 2000-2005 (1).Season,College Drafted Players Stats from 2000-2005 (1).Team,College Drafted Players Stats from 2000-2005 (1).G,College Drafted Players Stats from 2000-2005 (1).GS,College Drafted Players Stats from 2000-2005 (1).MP,College Drafted Players Stats from 2000-2005 (1).FG,College Drafted Players Stats from 2000-2005 (1).FGA,College Drafted Players Stats from 2000-2005 (1).2P,College Drafted Players Stats from 2000-2005 (1).2PA,College Drafted Players Stats from 2000-2005 (1).3P,College Drafted Players Stats from 2000-2005 (1).3PA,College Drafted Players Stats from 2000-2005 (1).FT,College Drafted Players Stats from 2000-2005 (1).FTA,College Drafted Players Stats from 2000-2005 (1).ORB,College Drafted Players Stats from 2000-2005 (1).DRB,College Drafted Players Stats from 2000-2005 (1).TRB,College Drafted Players Stats from 2000-2005 (1).AST,College Drafted Players Stats from 2000-2005 (1).STL,College Drafted Players Stats from 2000-2005 (1).BLK,College Drafted Players Stats from 2000-2005 (1).TOV,College Drafted Players Stats from 2000-2005 (1).PF,College Drafted Players Stats from 2000-2005 (1).PTS_1,College Drafted Players Stats from 2000-2005 (1).FG%,College Drafted Players Stats from 2000-2005 (1).2P%,College Drafted Players Stats from 2000-2005 (1).3P%,College Drafted Players Stats from 2000-2005 (1).FT%,College Drafted Players Stats from 2000-2005 (1).TS%,College Drafted Players Stats from 2000-2005 (1).eFG%,College Drafted Players Stats from 2000-2005 (1).Pos,Year in NBA2
Rafael Araujo,araujra01,2007,3,533,276,-4.173368027,-0.159592154,-4.332960181,-0.221363393,-0.274937252,0.053573859,-3.951440009,-0.457926002,-4.409366012,0.887536017,133,552,2004,Brigham Young,2003,Brigham Young,30,30,895,211,368,203,338,8,30,122,169,87,216,303,37,43,25,87,94,552,0.573,0.601,0.267,0.722,0.616,0.584,C,3
Robert Archibald,archiro01,2003,1,141,72,-7.534926498,-1.901874912,-9.43680141,-0.247436165,-0.247436165,0,-7.215434404,-3.628432754,-10.84386716,0.674972904,385,362,2002,Illinois,2001,Illinois,34,31,769,114,173,114,172,0,1,134,205,70,118,188,44,25,38,67,123,362,0.659,0.663,0,0.654,0.669,0.659,C,1
Robert Archibald,archiro01,2004,2,470,256,-4.497182665,1.439184095,-3.05799857,-0.037658026,-0.037658026,0,-4.408200889,2.034367479,-2.373833411,1.608206419,385,362,2002,Illinois,2001,Illinois,34,31,769,114,173,114,172,0,1,134,205,70,118,188,44,25,38,67,123,362,0.659,0.663,0,0.654,0.669,0.659,C,2
Trevor Ariza,arizatr01,2005,1,2641,1382,-1.48489937,1.570881799,0.085982429,2.003718341,2.003718341,0,-1.657664444,0.955106732,-0.702557712,0.187659198,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,1
Trevor Ariza,arizatr01,2006,2,1897,999,-1.588445363,2.204663556,0.616218193,1.723830591,1.723830591,0,-1.61019543,1.775318586,0.165123156,0.240589103,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,2
Trevor Ariza,arizatr01,2007,3,2506,1325,0.007386848,1.568289998,1.575676846,2.916110276,3.048784721,-0.132674445,-0.245741684,1.58607042,1.340328736,0.28128641,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,3
Trevor Ariza,arizatr01,2008,4,1182,591,-0.264031862,1.60297903,1.338947168,1.235600032,1.124174972,0.111425059,-0.452907287,1.130802617,0.67789533,0.323548795,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,4
Trevor Ariza,arizatr01,2009,5,5358,2721,0.482855614,1.779706851,2.262562464,7.040038787,5.094101262,1.945937525,0.854174895,2.02545527,2.879630165,0.277251053,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,5
Trevor Ariza,arizatr01,2010,6,5208,2629,0.090508014,0.983800946,1.074308961,5.141775006,5.141775006,0,0.691874429,1.20704501,1.898919439,0.222684379,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,6
Trevor Ariza,arizatr01,2011,7,5293,2841,-1.705379271,0.857420788,-0.847958483,2.787505277,2.295204548,0.492300729,-1.158108195,1.295553407,0.137445213,0.243726186,450,289,2004,UCLA,2003,UCLA,25,23,789,107,251,89,175,18,76,57,113,61,101,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,0.474,0.462,F,7
Matt Barnes,barnema02,2004,2,1388,724,-1.379123115,-1.436079914,-2.815203029,-0.024117651,-0.024117651,0,-1.668890757,-1.540487978,-3.209378735,0.123582514,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,2
Matt Barnes,barnema02,2005,3,1401,715,-2.521156414,-0.368853515,-2.890009929,-0.051217911,-0.051217911,0,-2.612483822,-0.975554285,-3.588038107,0.258161631,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,3
Matt Barnes,barnema02,2006,4,1229,631,-1.608566115,-0.455721351,-2.064287466,0.223014867,0.223014867,0,-1.947645327,-0.663002121,-2.610647448,0.809425808,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,4
Matt Barnes,barnema02,2007,5,4453,2143,0.86085162,-0.996155043,-0.135303423,2.897322106,2.222575483,0.674746623,1.095060723,-0.882447894,0.212612829,0.303409912,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,5
Matt Barnes,barnema02,2008,6,2944,1414,-0.403092568,-2.238048736,-2.641141304,0.078844073,0.078844073,0,-0.260723695,-2.441392065,-2.70211576,0.370395609,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,6
Matt Barnes,barnema02,2009,7,4212,2082,0.506813942,-1.818286022,-1.311472079,1.534494062,1.534494062,0,1.114685945,-1.515791417,-0.401105472,0.390955466,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,7
Matt Barnes,barnema02,2010,8,4659,2423,1.555545849,0.559678566,2.115224415,6.064181063,5.029885603,1.03429546,1.302080722,0.612336393,1.914417115,0.114574407,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,8
Matt Barnes,barnema02,2011,9,2189,1151,0.303880237,0.393396314,0.697276551,2.039683342,1.879961738,0.159721604,0.296831243,0.508001804,0.804833047,0.683031862,296,420,2002,UCLA,2001,UCLA,31,31,953,152,323,109,220,43,103,73,118,46,146,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,0.554,0.537,F,9
Brandon Bass,bassbr01,2006,1,503,268,-4.353876981,-1.538435257,-5.892312238,-0.42611339,-0.42611339,0,-4.65930569,-3.008602277,-7.667907967,-0.756287513,163,520,2005,Louisiana State,2004,Louisiana State,30,29,1007,181,319,169,293,12,26,146,188,82,190,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,0.637,0.586,F,1
Brandon Bass,bassbr01,2007,2,308,162,-4.756712177,-1.350898774,-6.107610951,-0.276825327,-0.276825327,0,-5.005287021,-2.560028399,-7.56531542,-0.231092613,163,520,2005,Louisiana State,2004,Louisiana State,30,29,1007,181,319,169,293,12,26,146,188,82,190,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,0.637,0.586,F,2
Brandon Bass,bassbr01,2008,3,3203,1690,-1.822912527,-1.167560485,-2.990473011,-0.191883008,-0.440657144,0.248774136,-1.688859956,-1.470396241,-3.159256197,-0.464476489,163,520,2005,Louisiana State,2004,Louisiana State,30,29,1007,181,319,169,293,12,26,146,188,82,190,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,0.637,0.586,F,3
Brandon Bass,bassbr01,2009,4,3399,1766,-0.86672011,-1.197935793,-2.064655904,0.640742808,0.069892296,0.570850512,-1.007339532,-1.565311382,-2.572650914,-0.537580394,163,520,2005,Louisiana State,2004,Louisiana State,30,29,1007,181,319,169,293,12,26,146,188,82,190,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,0.637,0.586,F,4
Brandon Bass,bassbr01,2010,5,1333,690,-0.755052513,-0.706900837,-1.46195335,0.452015566,0.426606882,0.025408684,-1.141198085,-1.267268894,-2.408466979,-0.425474365,163,520,2005,Louisiana State,2004,Louisiana State,30,29,1007,181,319,169,293,12,26,146,188,82,190,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,0.637,0.586,F,5
Brandon Bass,bassbr01,2011,6,4059,2119,-1.782439297,1.42467833,-0.357760967,2.567946065,2.470000453,0.097945612,-2.033050036,0.77577923,-1.257270806,-0.649764392,163,520,2005,Louisiana State,2004,Louisiana State,30,29,1007,181,319,169,293,12,26,146,188,82,190,272,25,24,48,54,73,520,0.567,0.577,0.462,0.777,0.637,0.586,F,6
Shane Battier,battish01,2002,1,5945,3097,0.847033967,2.022409599,2.869443566,8.861488006,8.861488006,0,0.626730043,2.215415467,2.84214551,-0.183323424,4,778,2001,Duke,2000,Duke,39,39,1363,251,533,127,237,124,296,152,191,94,191,285,72,82,88,60,80,778,0.471,0.536,0.419,0.796,0.624,0.587,F,1
Shane Battier,battish01,2003,2,4655,2383,1.659193824,1.920939982,3.580133806,7.681129121,7.681129121,0,1.4109421,2.126283284,3.537225384,-0.180538934,4,778,2001,Duke,2000,Duke,39,39,1363,251,533,127,237,124,296,152,191,94,191,285,72,82,88,60,80,778,0.471,0.536,0.419,0.796,0.624,0.587,F,2
